epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,113.376,2.15892,3.70261,1.27751,0.00828,0.16779,0.00485,0.00208,1.44179,3.58746,1.04705,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058
2,196.82,1.38008,3.14116,0.9998,0.04794,0.97185,0.10553,0.06505,1.09138,3.09639,0.89533,0.00350495,0.00116832,0.00350495,0.00116832,0.00350495,0.00116832,0.00350495,0.00116832
3,265.796,1.14714,1.83668,0.91832,0.91593,0.88336,0.94491,0.67128,1.05511,1.493,0.91236,0.00523427,0.00174476,0.00523427,0.00174476,0.00523427,0.00174476,0.00523427,0.00174476
4,335.459,1.04316,0.94578,0.89207,0.85872,0.96959,0.97484,0.72169,0.96563,1.44681,0.89946,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,404.802,0.97711,0.90172,0.88696,0.86673,0.98086,0.98469,0.746,0.89272,1.36289,0.87262,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,473.833,0.99201,0.77252,0.88361,0.95347,0.97635,0.98796,0.74004,0.90558,0.80229,0.87,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,539.706,0.96383,0.72698,0.8684,0.96755,0.9738,0.99012,0.76048,0.87635,0.66897,0.86767,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,609.442,0.94904,0.72113,0.86379,0.9784,0.97748,0.99272,0.75966,0.87305,0.61955,0.86412,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,681.521,0.92812,0.68705,0.86242,0.98344,0.98086,0.99394,0.76652,0.86111,0.58525,0.85935,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,752.453,0.92199,0.65248,0.86353,0.99426,0.97575,0.99458,0.77444,0.84924,0.55997,0.85522,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
